paragraph_id,proposition_id,n_triples,triple_combined_similarity,qa_combined_similarity
1189,18578,2,1.000000,0.814538
1189,18577,4,0.877286,0.679271
1189,18581,2,0.995822,0.747980
1189,18580,3,0.997517,0.837898
1189,18579,4,0.968053,0.693656
1189,18582,2,0.996580,0.801916
1189,18583,2,0.995535,0.808743
1188,18571,14,0.949806,0.720969
1190,18586,2,0.874169,0.599943
1189,18584,3,0.984198,0.785955
1190,18587,1,0.899228,0.667057
1190,18585,2,0.865917,0.752260
1190,18593,2,1.000000,0.973115
1190,18588,3,0.989128,0.910297
1190,18591,3,0.990659,0.905943
1190,18589,2,1.000000,0.849019
1190,18592,2,0.982669,0.845446
1190,18590,3,0.847588,0.751902
1190,18596,1,1.000000,0.976581
1190,18594,2,1.000000,0.917300
1190,18597,2,0.984353,0.782355
1190,18598,2,0.989864,0.831779
1190,18595,2,0.896610,0.779932
1190,18600,1,1.000000,0.859065
1190,18599,2,0.955386,0.800585
1191,18603,1,0.984067,0.794138
1191,18606,2,0.947229,0.790981
1191,18605,3,0.997248,0.838700
1190,18601,3,0.943546,0.862454
1191,18604,4,0.902873,0.819165
1191,18602,4,0.985770,0.904386
1191,18608,3,0.957197,0.914697
1191,18607,4,1.000000,0.787057
1191,18613,2,0.993366,0.757968
1192,18614,3,1.000000,0.914275
1191,18609,6,0.985682,0.874487
1191,18612,4,0.999617,0.916162
1192,18617,1,1.000000,0.745019
1191,18610,6,0.985191,0.886620
1191,18611,6,0.983721,0.895537
1192,18618,1,1.000000,0.770851
1192,18615,4,0.955191,0.940968
1192,18616,3,0.988101,0.853277
1192,18621,2,0.978534,0.905694
1192,18620,3,0.942263,0.749252
1192,18619,3,0.970025,0.834607
1193,18624,2,0.992793,0.817611
1193,18625,1,1.000000,0.906991
1192,18622,3,0.994226,0.886819
1193,18628,3,1.000000,0.776183
1193,18627,3,1.000000,0.720740
1192,18623,4,0.995627,0.784239
1193,18626,4,1.000000,0.852092
1193,18630,3,0.969665,0.908426
1193,18633,2,0.945392,0.516571
1193,18632,2,1.000000,0.973096
1193,18631,2,0.996206,0.956408
1193,18629,6,0.956437,0.859931
1193,18634,3,1.000000,0.951506
1194,18637,3,0.992183,0.664579
1194,18638,3,0.996532,0.797048
1194,18639,3,0.983856,0.822244
1193,18635,4,0.954462,0.810597
1193,18636,2,0.885571,0.883451
1194,18642,1,0.995085,0.504475
1194,18643,1,1.000000,0.660170
1194,18644,2,0.991150,0.885527
1194,18640,3,0.991419,0.917575
1194,18646,2,1.000000,0.962872
1194,18645,3,0.982686,0.774007
1194,18647,2,0.992277,0.913038
1194,18649,2,1.000000,0.933143
1194,18650,2,1.000000,0.924556
1194,18648,4,0.868836,0.882335
1194,18651,2,1.000000,0.919855
1194,18641,3,0.986711,0.690836
1194,18652,2,1.000000,0.894940
1194,18653,2,1.000000,0.923850
1194,18655,2,1.000000,0.924217
1195,18656,2,0.917890,0.715464
1194,18654,2,1.000000,0.926672
1195,18657,3,0.904318,0.822680
1195,18659,3,0.865910,0.804927
1195,18660,3,0.903138,0.834961
1195,18662,4,0.931694,0.901101
1195,18658,6,0.974168,0.915903
1195,18663,3,0.958741,0.857267
1195,18664,4,0.966011,0.816797
1195,18665,5,0.926363,0.870738
1195,18661,9,0.894115,0.654361
1195,18668,3,0.949080,0.905112
1195,18667,4,0.936099,0.899371
1196,18669,3,0.993595,0.734485
1196,18673,2,1.000000,0.549605
1196,18671,2,0.995984,0.770652
1196,18674,2,0.983204,0.752704
1196,18670,5,0.992164,0.766212
1196,18675,2,0.960391,0.829305
1196,18676,2,0.982739,0.833674
1196,18672,5,0.959682,0.384653
1196,18678,2,1.000000,0.846946
1196,18680,2,0.950341,0.847668
1196,18679,2,0.892049,0.646656
1195,18666,6,0.842776,0.725564
1197,18683,2,0.991090,0.739804
1197,18684,2,1.000000,0.828160
1197,18681,5,0.954039,0.698089
1196,18677,8,0.899210,0.877536
1197,18682,3,0.973437,0.862963
1197,18687,2,1.000000,0.768445
1197,18688,2,0.984438,0.718073
1197,18685,3,0.992410,0.928101
1197,18686,5,0.987618,0.711776
1197,18689,2,0.977837,0.989946
1198,18692,2,0.989471,0.910517
1198,18691,2,1.000000,0.766960
1198,18694,1,1.000000,0.733741
1197,18690,4,0.976101,0.836298
1198,18695,1,1.000000,0.686270
1198,18697,3,0.992337,0.734105
1198,18699,3,0.992633,0.877556
1198,18696,2,1.000000,0.914496
1199,18700,3,0.962336,0.816119
1198,18698,3,0.989323,0.757652
1199,18703,1,1.000000,0.769191
1198,18693,8,0.976659,0.666929
1199,18704,2,1.000000,0.829276
1199,18702,3,1.000000,0.919787
1199,18701,2,0.971497,0.808011
1199,18705,3,0.979899,0.580841
1199,18709,2,0.862741,0.798153
1199,18706,3,0.987910,0.896639
1199,18707,2,0.975829,0.958250
1199,18710,2,0.995574,0.910440
1199,18711,1,0.922037,0.615254
1200,18713,1,1.000000,1.000000
1199,18712,2,1.000000,0.731531
1199,18708,4,0.984910,0.788457
1200,18715,2,0.990532,0.885270
1200,18714,5,0.977618,0.874720
1200,18716,3,0.941259,0.929521
1200,18718,2,0.958646,0.887277
1200,18719,2,0.980533,0.811570
1200,18717,3,1.000000,0.884486
1200,18720,2,0.982828,0.849277
1200,18722,2,0.966969,0.668472
1200,18721,3,1.000000,0.944524
1200,18725,2,0.997567,0.960654
1200,18724,4,0.983224,0.761263
1201,18726,3,0.993229,0.797410
1201,18728,2,0.979921,0.799163
1201,18730,1,1.000000,0.913319
1200,18723,3,0.949554,0.901568
1201,18731,2,1.000000,0.623685
1201,18729,4,0.971233,0.853590
1201,18727,6,0.995032,0.896846
1201,18732,3,0.987129,0.809092
1201,18734,1,1.000000,0.697617
1201,18736,1,1.000000,0.975974
1201,18733,4,0.953815,0.650968
1201,18737,2,0.980845,0.802482
1201,18738,2,0.998499,0.814853
1201,18735,4,0.871013,0.783501
1202,18739,2,1.000000,0.787898
1202,18742,1,1.000000,0.696601
1202,18741,2,0.983541,0.798098
1202,18740,4,0.996766,0.635433
1203,18746,2,0.874488,0.690773
1202,18744,3,0.959505,0.784279
1202,18743,6,0.986750,0.935749
1203,18745,4,0.945963,0.857829
1203,18749,2,1.000000,0.923660
1203,18747,5,0.985458,0.853811
1203,18750,4,0.959866,0.749260
1203,18748,6,0.993376,0.889884
1203,18753,2,1.000000,0.949657
1203,18752,2,0.998916,0.723259
1203,18754,2,1.000000,0.979256
1203,18755,2,1.000000,0.927938
1203,18756,2,1.000000,0.957307
1204,18757,3,0.977651,0.753802
1203,18751,4,0.989984,0.953093
1204,18760,2,0.946274,0.547225
1204,18759,4,0.997105,0.708003
1204,18763,2,0.976724,0.634375
1205,18764,1,1.000000,0.737195
1204,18758,3,0.996084,0.857783
1204,18762,4,0.987437,0.673515
1205,18765,2,1.000000,0.865728
1205,18766,2,0.961226,0.673093
1205,18769,2,0.986111,0.809178
1205,18770,2,0.995025,0.899239
1205,18772,1,1.000000,0.875019
1205,18767,4,0.994654,0.904377
1205,18768,5,0.958101,0.820273
1205,18771,4,0.992904,0.809189
1205,18773,3,1.000000,0.875328
1205,18775,2,0.929168,0.802716
1205,18774,2,1.000000,0.864379
1204,18761,8,0.969173,0.797404
1205,18776,2,0.977259,0.910287
1205,18777,3,0.936476,0.800051
1206,18779,2,0.985283,0.778298
1206,18781,2,0.973858,0.535158
1206,18778,3,0.934144,0.734378
1206,18780,3,0.963447,0.818785
1206,18786,1,0.925210,0.489097
1206,18787,2,0.992604,0.892895
1206,18784,3,0.988931,0.720460
1206,18782,5,0.985539,0.848460
1206,18788,2,0.974502,0.704090
1206,18783,6,1.000000,0.559510
1206,18789,1,1.000000,0.875600
1206,18791,1,1.000000,0.695764
1206,18785,3,1.000000,0.862680
1206,18795,1,1.000000,0.929073
1206,18790,4,0.980135,0.711344
1206,18793,2,0.994814,0.878480
1206,18792,3,0.981214,0.768445
1206,18794,3,0.946681,0.742825
1206,18797,1,1.000000,0.967070
1206,18798,1,0.936760,0.743356
1206,18796,4,0.991189,0.858756
1207,18799,2,0.986907,0.922576
1207,18804,1,1.000000,0.825658
1207,18801,3,1.000000,0.545458
1207,18803,2,1.000000,0.598558
1207,18800,3,0.957156,0.720802
1207,18802,4,0.990541,0.834962
1207,18805,4,1.000000,0.870606
1207,18806,3,0.986879,0.789093
1207,18807,3,0.989722,0.659467
1207,18808,3,0.900958,0.725081
1207,18809,3,0.931569,0.814014
1207,18810,3,0.970504,0.758815
1207,18811,2,0.918973,0.861735
1208,18816,1,1.000000,0.644873
1208,18815,2,0.981582,0.901606
1208,18814,2,0.946571,0.915334
1208,18817,2,0.967599,0.716198
1208,18819,1,1.000000,0.616144
1208,18820,1,0.925241,0.804337
1208,18813,5,0.952543,0.818600
1207,18812,4,0.977063,0.925774
1208,18818,3,0.970838,0.750493
1209,18823,2,0.990814,0.770728
1208,18822,2,0.992376,0.819931
1208,18821,3,0.994625,0.844036
1209,18824,2,0.959958,0.886341
1209,18826,2,1.000000,0.891237
1209,18825,3,0.998104,0.748872
1209,18827,4,0.939539,0.867680
1209,18829,2,0.994209,0.856368
1209,18830,2,0.989052,0.820842
1209,18831,2,0.996630,0.947488
1209,18833,2,1.000000,0.940991
1209,18828,3,0.930083,0.913908
1209,18834,2,0.998751,0.946641
1209,18836,2,0.974022,0.935557
1209,18832,4,1.000000,0.891030
1209,18835,2,0.998537,0.882884
1209,18838,2,0.998631,0.916298
1209,18839,2,0.967545,0.812008
1209,18837,2,0.998556,0.938884
1210,18841,2,0.986383,0.634630
1209,18840,3,0.989569,0.938780
1210,18842,4,0.909186,0.846036
1210,18844,4,0.995194,0.863590
1210,18847,1,0.986329,0.714492
1210,18843,4,1.000000,0.893252
1210,18851,1,1.000000,0.872145
1210,18845,5,0.966531,0.838204
1210,18850,3,0.957959,0.900713
1210,18848,4,0.996404,0.793693
1210,18849,4,0.931108,0.807822
1210,18852,4,0.980589,0.626780
1210,18856,3,0.994031,0.862966
1210,18854,4,0.995001,0.892311
1211,18857,2,0.989290,0.901892
1210,18853,5,0.974369,0.746842
1210,18846,3,1.000000,0.784739
1210,18855,2,0.960454,0.772927
1211,18862,2,0.998393,0.667158
1211,18859,3,0.937228,0.617002
1211,18858,2,0.948940,0.877006
1211,18863,2,0.949932,0.677078
1211,18861,3,0.978822,0.892456
1211,18866,2,0.990676,0.857814
1211,18865,3,0.995671,0.967721
1211,18860,6,0.998468,0.834298
1212,18870,1,1.000000,0.731775
1211,18869,3,0.965466,0.690848
1211,18867,2,0.962821,0.813182
1211,18864,4,0.983955,0.780306
1211,18868,4,0.957324,0.699535
1212,18871,3,0.995988,0.802379
1212,18872,3,0.996854,0.827842
1212,18875,2,0.981550,0.884237
1212,18874,3,0.996202,0.935641
1212,18873,4,0.968346,0.878199
1212,18876,4,1.000000,0.926251
1212,18878,3,0.996522,0.864140
1212,18877,3,0.984411,0.933585
1212,18880,3,0.996362,0.873433
1212,18879,2,0.994634,0.790442
1212,18881,3,0.968678,0.679314
1212,18882,3,0.923884,0.808692
1212,18886,2,0.996922,0.885228
1212,18883,4,0.975200,0.885090
1212,18885,3,0.946698,0.856124
1212,18887,3,0.968670,0.682996
1213,18888,3,0.994321,0.867972
1213,18889,4,1.000000,0.734920
1212,18884,6,0.997213,0.925186
1213,18891,4,1.000000,0.794312
1213,18890,4,1.000000,0.771401
1213,18893,5,0.957087,0.767859
1213,18894,4,0.933453,0.842167
1213,18895,4,0.980743,0.859543
1213,18896,3,0.992687,0.944661
1213,18892,6,0.995693,0.825024
1214,18901,1,1.000000,0.753579
1213,18897,4,1.000000,0.924104
1213,18900,2,0.984207,0.791439
1213,18898,3,0.988634,0.777684
1214,18902,2,0.929472,0.940722
1213,18899,3,0.987685,0.919899
1214,18904,1,0.967318,0.862754
1214,18903,3,0.915918,0.915970
1214,18907,2,0.963169,0.863228
1214,18908,2,0.966262,0.572058
1214,18906,4,0.995381,0.711707
1214,18909,2,0.963727,0.711051
1214,18905,4,0.991034,0.895128
1215,18912,1,0.966635,0.796754
1215,18910,1,0.967942,0.842509
1215,18911,2,0.972731,0.787563
1215,18915,1,0.930782,0.593315
1215,18917,1,0.966892,0.896182
1215,18914,3,0.928344,0.790547
1215,18916,4,0.966673,0.892037
1215,18919,3,0.944854,0.874468
1215,18913,5,0.976096,0.866840
1215,18921,3,0.985100,0.932026
1215,18920,4,0.934257,0.835516
1216,18923,2,0.964525,0.871620
1215,18918,7,0.971742,0.923586
1216,18927,1,0.979801,0.819986
1216,18924,4,0.943902,0.799136
1216,18926,4,0.974036,0.751094
1216,18925,4,0.955562,0.925762
1216,18928,2,0.876316,0.643709
1216,18929,2,0.969136,0.827193
1216,18933,3,0.975175,0.812612
1215,18922,3,0.969510,0.941244
1216,18934,4,0.976518,0.790115
1217,18935,2,1.000000,0.800954
1216,18931,6,0.983600,0.805557
1217,18936,1,1.000000,0.719511
1216,18932,6,0.894915,0.851426
1216,18930,6,0.983587,0.935352
1217,18937,2,1.000000,0.937256
1217,18941,1,0.980051,0.988541
1217,18939,2,0.983349,0.908246
1217,18938,3,0.952640,0.874659
1217,18940,4,0.952204,0.905423
1217,18943,3,0.976889,0.741202
1217,18944,2,0.990066,0.908432
1217,18942,4,0.968741,0.781335
1217,18945,2,1.000000,0.993251
1218,18946,2,0.998578,0.859304
1218,18947,2,0.995269,0.903352
1218,18950,2,0.977197,0.869192
1218,18949,2,0.966818,0.937634
1218,18948,3,0.980382,0.786554
1218,18951,5,0.969589,0.939900
1218,18955,4,0.964401,0.945179
1218,18954,5,0.990160,0.765070
1218,18952,5,0.972745,0.685304
1218,18956,4,0.984587,0.627300
1218,18953,7,0.997659,0.914269
1219,18958,3,1.000000,0.905584
1219,18961,1,0.994896,0.973525
1218,18957,4,0.982042,0.749596
1219,18962,1,0.996689,0.970694
1219,18960,2,0.986443,0.867436
1219,18959,2,1.000000,0.984894
1219,18964,2,0.991134,0.923107
1220,18965,2,1.000000,0.844863
1220,18968,1,0.996265,0.905118
1219,18963,3,0.992302,0.523034
1220,18971,1,0.892721,0.734369
1220,18970,2,0.995211,0.669703
1220,18969,3,0.990819,0.865008
1220,18966,5,0.980527,0.881202
1220,18967,5,0.991818,0.855835
1220,18972,3,0.951548,0.875760
1220,18974,2,1.000000,0.903152
1220,18975,2,0.990890,0.787129
1220,18976,2,0.957789,0.737919
1221,18977,2,0.984913,0.846777
1221,18979,2,0.988875,0.938868
1220,18973,3,1.000000,0.955177
1221,18978,2,0.973334,0.902133
1221,18981,3,0.967873,0.691993
1221,18984,2,0.995906,0.897358
1221,18985,2,0.989501,0.610099
1221,18986,2,0.992233,0.937743
1221,18983,4,0.998243,0.875182
1221,18980,7,0.979383,0.770226
1221,18982,8,0.984452,0.648297
1221,18988,3,0.963506,0.663441
1221,18990,3,0.994886,0.791205
1221,18987,5,0.896834,0.754147
1221,18991,3,0.964713,0.754861
1222,18992,2,1.000000,0.827817
1221,18989,6,0.941644,0.933498
1222,18993,4,0.945127,0.732557
1222,18997,2,0.992193,0.755952
1222,18995,4,0.947025,0.852771
1222,18996,4,0.900713,0.813043
1222,18998,4,0.958526,0.894082
1222,18994,6,0.986035,0.869715
1222,18999,3,0.941297,0.883704
1223,19001,3,0.986855,0.810598
1222,19000,3,1.000000,0.918511
1223,19002,3,0.978128,0.920073
1223,19003,3,0.989914,0.869374
1223,19005,2,0.978328,0.854658
1223,19004,3,0.973276,0.788198
1223,19007,3,0.955872,0.914457
1223,19006,4,0.982109,0.736278
1223,19009,3,0.989192,0.866145
1223,19011,2,0.985872,0.697779
1223,19013,4,0.965294,0.524356
1223,19012,5,0.992198,0.919906
1223,19008,10,0.987312,0.820462
1223,19014,3,0.978018,0.774086
1223,19010,9,0.982523,0.806770
1223,19015,4,0.922430,0.631974
1223,19016,3,0.996268,0.629985
1224,19019,1,1.000000,0.706003
1224,19018,2,0.948965,0.643731
1224,19021,2,0.971346,0.913155
1224,19020,3,0.986141,0.650874
1224,19023,3,0.958342,0.769545
1224,19024,3,0.967544,0.720054
1224,19022,4,1.000000,0.592671
1224,19025,2,0.985938,0.773122
1225,19028,2,1.000000,0.693272
1225,19027,2,0.967563,0.843023
1225,19026,4,0.952296,0.744582
1225,19030,2,1.000000,0.308362
1225,19029,4,0.982491,0.922547
1223,19017,11,0.920707,0.852509
1225,19031,2,0.947228,0.671706
1225,19032,2,0.974877,0.836854
1225,19033,2,0.997517,0.945347
1225,19035,1,1.000000,0.994618
1225,19034,3,0.975064,0.948852
1225,19037,2,0.994736,0.769943
1225,19036,2,0.947755,0.968608
1225,19039,2,1.000000,0.807472
1225,19041,2,0.985581,0.822533
1225,19043,2,0.970313,0.918145
1225,19042,2,0.996728,0.897443
1225,19040,3,0.996692,0.899533
1225,19038,4,0.993330,0.988724
1225,19044,3,1.000000,0.864592
1226,19047,2,0.990484,0.899774
1226,19045,5,1.000000,0.847505
1226,19048,5,0.974689,0.884423
1226,19051,1,0.823740,0.536092
1226,19049,4,0.844157,0.547300
1226,19050,3,0.989464,0.829400
1226,19046,5,0.892507,0.720949
1226,19052,3,0.993844,0.859241
1226,19053,2,0.991712,0.836767
1226,19054,2,0.968360,0.756732
1227,19058,1,1.000000,0.834653
1227,19057,3,0.994026,0.827041
1227,19059,1,0.998015,0.965855
1227,19056,3,0.978745,0.714207
1227,19055,5,0.967062,0.788729
1227,19063,2,1.000000,0.872370
1227,19061,2,0.993350,0.608891
1227,19062,3,0.949407,0.553879
1227,19064,3,0.981600,0.772664
1227,19060,5,0.921215,0.765470
1227,19066,2,0.959466,0.981645
1227,19067,3,0.966930,0.777972
1227,19068,2,0.898880,0.912297
1227,19069,2,1.000000,0.784182
1227,19065,4,0.983531,0.860109
1227,19071,2,0.965606,0.990297
1228,19073,1,1.000000,0.648726
1228,19075,1,1.000000,0.930350
1227,19072,2,0.931040,0.785255
1228,19074,2,1.000000,0.699024
1228,19076,2,0.948825,0.790087
1228,19077,2,0.997116,0.806567
1227,19070,7,0.945447,0.842823
1228,19081,2,0.988964,0.809514
1228,19079,4,0.932512,0.883903
1228,19080,5,0.951972,0.940917
1228,19082,3,0.963843,0.752688
1228,19083,3,0.976750,0.853173
1228,19084,3,0.973974,0.846275
1228,19085,2,0.988496,0.886003
1228,19078,9,0.951100,0.677557
1228,19087,2,0.960061,0.900363
1229,19089,2,0.836660,0.814569
1228,19086,3,0.962815,0.892819
1229,19090,1,0.998585,0.862732
1229,19091,2,0.965452,0.888841
1228,19088,4,0.942619,0.916971
1229,19092,3,1.000000,0.960058
1229,19095,3,0.987331,0.700665
1229,19094,3,0.987762,0.917342
1229,19096,3,0.984843,0.717511
1229,19093,5,0.980899,0.949800
1229,19098,4,0.958616,0.591146
1229,19097,4,0.973717,0.679902
1229,19101,3,0.941029,0.666131
1229,19102,3,0.955097,0.729643
1229,19100,3,0.972690,0.907803
1229,19103,3,0.988651,0.940573
1229,19104,2,0.921426,0.786829
1229,19099,4,0.930290,0.665529
1229,19106,2,0.943153,0.803204
1229,19105,4,0.966666,0.646413
1229,19109,3,0.952684,0.782731
1229,19107,5,0.936192,0.861549
1229,19108,3,0.964688,0.858854
1229,19110,4,0.966980,0.802508
1229,19111,3,0.960738,0.865352
1230,19112,2,0.979958,0.710462
1230,19114,4,0.993358,0.917386
1230,19116,2,0.966507,0.900161
1230,19113,4,1.000000,0.874050
1230,19117,3,0.977390,0.915758
1230,19120,1,0.990955,0.762530
1230,19121,1,1.000000,0.374761
1230,19118,4,0.977961,0.837854
1230,19124,3,0.977405,0.907722
1230,19123,5,0.989451,0.962173
1230,19119,12,0.993973,0.941215
1230,19126,6,0.960111,0.891507
1230,19115,15,0.957044,0.969983
1230,19127,5,0.979609,0.897333
1230,19128,6,0.950998,0.683654
1230,19122,17,0.956642,0.824848
1230,19129,3,0.993452,0.858326
1230,19131,1,0.825064,0.198528
1230,19130,3,0.951001,0.629306
1231,19134,3,0.990972,0.732504
1231,19132,4,0.995798,0.671707
1231,19135,3,0.985541,0.556654
1231,19133,4,1.000000,0.774224
1231,19139,1,1.000000,0.702314
1231,19136,4,0.991795,0.760429
1230,19125,11,0.958769,0.827647
1231,19137,2,0.998188,0.865881
1231,19141,2,0.946961,0.748583
1231,19140,3,1.000000,0.828654
1231,19138,5,1.000000,0.327447
1231,19143,2,0.996793,0.968077
1231,19144,2,0.997168,0.961241
1231,19142,2,0.997312,0.963475
1232,19146,3,0.998079,0.703481
1232,19145,3,1.000000,0.823023
1232,19150,2,0.890315,0.646673
1232,19149,2,0.993224,0.937880
1232,19147,4,1.000000,0.850524
1232,19148,4,1.000000,0.761051
1232,19151,2,0.968967,0.707732
1232,19153,3,0.996934,0.835534
1232,19152,3,0.998898,0.808438
1232,19154,3,0.997439,0.789044
1232,19156,3,0.998653,0.888036
1232,19159,1,0.992404,0.746822
1232,19155,4,0.973783,0.815920
1232,19158,2,0.951238,0.888470
1232,19157,3,0.998914,0.908625
1233,19161,2,0.955512,0.660083
1233,19160,3,0.932312,0.768298
1233,19163,2,0.964447,0.746169
1233,19162,3,0.952145,0.796545
1233,19165,3,0.970295,0.781758
1233,19166,3,0.929045,0.804044
1233,19168,3,0.940527,0.833606
1233,19164,6,0.977661,0.749326
1234,19171,2,0.987851,0.802929
1233,19167,4,0.989831,0.790535
1233,19169,5,0.972353,0.925683
1234,19172,2,0.992926,0.859208
1234,19173,2,0.995497,0.825490
1234,19174,2,0.995096,0.916180
1234,19176,2,1.000000,0.802583
1233,19170,5,0.924035,0.910322
1234,19175,3,0.996440,0.478345
1234,19177,5,0.944752,0.339976
1234,19178,4,0.987082,0.814833
1234,19182,3,0.993894,0.780116
1234,19179,5,1.000000,0.851522
1234,19180,5,0.916528,0.783895
1234,19181,4,1.000000,0.872009
1235,19185,2,0.973919,0.891973
1235,19186,2,1.000000,0.480438
1234,19183,5,0.952429,0.798874
1235,19187,2,0.990868,0.667629
1235,19189,1,1.000000,0.921876
1235,19192,1,1.000000,0.890743
1235,19190,2,1.000000,0.837209
1235,19191,2,0.991236,0.961371
1235,19194,1,0.957240,0.871673
1235,19193,3,1.000000,0.702007
1235,19197,1,1.000000,0.920182
1235,19195,2,0.963781,0.766815
1234,19184,10,0.986128,0.827259
1235,19196,2,0.993550,0.927715
1235,19188,10,0.998422,0.590611
1235,19198,2,1.000000,0.900652
1235,19201,1,0.952731,0.906363
1235,19199,3,0.990418,0.869137
1236,19204,2,0.990060,0.456616
1235,19200,4,0.973355,0.871484
1236,19202,4,1.000000,0.868642
1236,19205,2,0.995196,0.717003
1236,19203,4,1.000000,0.802669
1236,19209,2,0.983679,0.775850
1236,19206,4,0.981876,0.687302
1236,19208,3,0.979220,0.418064
1236,19210,2,0.973928,0.816050
1236,19207,5,0.975444,0.643925
1236,19213,2,0.997633,0.772304
1237,19215,2,0.877535,0.830850
1236,19212,3,0.970290,0.877415
1236,19214,2,0.965535,0.949359
1236,19211,6,0.878097,0.799191
1237,19216,4,0.908792,0.803354
1237,19217,3,0.983731,0.900520
1237,19220,3,0.990532,0.882159
1237,19219,4,0.927127,0.838637
1237,19218,4,0.998166,0.916931
1237,19221,4,0.989761,0.795982
1237,19223,2,1.000000,0.903642
1237,19224,2,0.946042,0.863535
1237,19225,2,0.956273,0.809513
1237,19226,3,0.949102,0.902793
1238,19228,2,0.969535,0.899034
1238,19229,2,1.000000,0.956649
1237,19222,5,0.978957,0.849274
1238,19230,2,0.937299,0.900901
1238,19233,1,1.000000,0.882233
1238,19232,2,1.000000,0.851549
1238,19235,2,0.992779,0.932694
1238,19227,4,0.999532,0.928550
1238,19236,2,1.000000,0.855277
1238,19231,4,0.997084,0.764200
1238,19239,2,1.000000,0.842567
1238,19237,3,0.941923,0.872864
1239,19242,2,1.000000,0.711306
1239,19240,4,0.966198,0.795240
1239,19241,4,0.953419,0.749413
1239,19243,2,1.000000,0.823182
1238,19238,6,0.942994,0.604284
1238,19234,10,0.956872,0.781832
1239,19246,3,0.995908,0.828595
1239,19248,3,1.000000,0.803605
1239,19247,5,0.991500,0.869701
1239,19245,4,0.973518,0.956150
1239,19249,2,1.000000,0.817926
1239,19244,5,0.971045,0.859468
1239,19250,2,1.000000,0.764950
1239,19251,1,0.976243,0.809953
1239,19253,2,0.950405,0.815561
1239,19255,2,0.936320,0.762898
1239,19257,2,1.000000,0.574249
1239,19252,4,0.990970,0.810539
1239,19254,4,0.851377,0.734252
1239,19256,4,0.847233,0.778939
1240,19259,2,0.993592,0.852058
1240,19258,3,0.998327,0.576174
1240,19262,1,0.996900,0.908359
1240,19261,2,1.000000,0.915118
1240,19260,2,0.969810,0.917281
1240,19263,2,0.991795,0.837169
1240,19265,3,0.977402,0.849902
1240,19266,4,0.977915,0.957476
1240,19267,6,0.954520,0.784710
1240,19271,3,0.962624,0.730542
1240,19268,3,1.000000,0.714989
1240,19269,5,0.974674,0.961905
1240,19270,9,0.961104,0.749674
1240,19273,4,0.978989,0.954409
1240,19264,3,0.979395,0.918389
