pubid,labelled_contexts
25445628,"BACKGROUND: Oxidative stress generated within inflammatory joints can produce autoimmune phenomena and joint destruction. Radical species with oxidative activity, including reactive nitrogen species, represent mediators of inflammation and cartilage damage. OBJECTIVE: To assess serum nitric oxide as a marker of oxidative stress in Egyptian patients with rheumatoid arthritis and its relation to disease activity. METHODS: 80 patients with rheumatoid arthritis were divided into 2 groups, according to the DAS-28 score: Group I: 42 patients with disease activity, and Group II: 38 patients with no disease activity. Forty age- and sex-matched individuals were included as control group (Group III). Routine laboratory investigations were done, and nitric oxide was measured using Elisa. Hand plain radiographies were done for radiological status scoring using the Sharp method. RESULTS: A comparison between nitric oxide in all three groups showed a highly significant difference (p < 0.001), significantly higher levels were obtained among rheumatoid arthritis patients in comparison to controls, and higher levels were obtained in patients with active disease (mean±SD 82.38±20.46) in comparison to patients without active disease (35.53±7.15). Nitric oxide in Group I showed a significant positive correlation with morning stiffness (r=0.45), arthritis (r=0.43), platelet count (r=0.46), erythrocyte sedimentation rate (r=0.83), C-reactive protein (r=0.76) and Disease Activity Score (r=0.85). Nitric oxide showed a significant positive correlation (r=0.43) with hand radiographies (Sharp score) in Group I."
25432781,"OBJECTIVE: Activation of B cells is a hallmark of systemic lupus erythematosus (SLE). Syk and TRAF6 are key signaling molecules in B-cell activation through BCR and CD40/TLR, respectively. Nevertheless, whether expression of Syk and TRAF6 is altered in SLE B cells remains unknown. METHODS: Phosphorylation and/or expression of Syk and TRAF6 were analyzed by flow cytometry in peripheral blood mononuclear cells isolated from SLE patients. RESULTS: Pronounced phosphorylation and expression of Syk were noted in B cells from SLE patients compared with healthy donors. Levels of Syk phosphorylation correlated with the disease activity score. TRAF6 was significantly over-expressed in B cells of SLE patients as compared with healthy donors, and significant correlation of levels of TRAF6 expression and Syk phosphorylation was observed in SLE patients. Levels of TRAF6 expression were more pronounced in CD27+ memory B cells than in CD27-naïve B cells. In vitro treatment of SLE B cells with a Syk inhibitor (BAY61-3606) reduced Syk phosphorylation as well as TRAF6 expression."
25429481,"OBJECTIVE: The aim of this study was to determine the reasons for which erupted third molars (3M) are extracted in a sample of Mexican patients. METHODS: A retrospective cross-sectional study was performed on a sample of 83 patients attending exodontia (minor oral surgery) clinics of a public university in Mexico (Autonomous University of Hidalgo State). The outcome variable was the reason for extractions using Kay and Blinkhorn's classification. The independent variables were age, gender, arch and tooth number according to the World Health Organization (WHO). For statistical analysis, we used the Chi-squared test in Stata 9.0. RESULTS: Eighty-three patients underwent 150 3M extractions. Mean age was 38.67 ± 13.96 years, and 71.1% were female. The four reasons for 3M extraction were prosthetic (44.0%), followed by orthodontic (24.7%), dental caries (20.0%) and periodontal disease (11.3%). Differences were observed in the reasons for 3M extractions across age groups (p < 0.05). No significant differences existed between men and women (p > 0.05), or the WHO tooth number (p > 0.05)."
25424372,"OBJECTIVE: To measure the through-focus curve for eyes implanted with a type 1 Boston keratoprosthesis (KPro) and compare it to that of pseudophakic controls with fixed pupil sizes. The results should assist in evaluating postoperative visual quality after surgery. They should also help to determine the necessary KPro inventories in terms of refractive power steps. METHODS: Autorefraction and manifest refraction were performed on all eyes. The monocular through-focus acuity curve was plotted in reference to the best-corrected visual acuity by spectacle plane defocus ranging from +5.00 to -5.00 dioptres in 0.50 dioptre increments. These measurements were obtained on KPro-implanted eyes, pseudophakic eyes as controls, and on the same control eyes after fixing the pupil diameter to 3 and 2 mm using black painted iris contact lenses. RESULTS: Ten KPro eyes and five control eyes were included. Good agreement was noted between the subjective refractions and autorefraction in KPro eyes. The average through-focus curve for the control eyes was significantly steeper than that of the KPro curve, but became comparable after fixing the control pupil to 2 and 3 mm."
25449410,"OBJECTIVE: Larger food portions lead to increased intake but the mechanism behind this effect is unclear. We investigated the effect of portion size on bite size, eating rate, deceleration rate, and meal duration. METHODS: Thirty-seven overweight women attended 5 visits after a 3 h fast and consumed a 229, 303, 400, 529 or 700 g portion of a lunch meal in random order. Meal eating parameters were measured with the Sussex Ingestion Pattern Monitor. Data were analyzed with mixed effects models. RESULTS: Average bite size increased by 0.22 g for every 100 g increase in portion size (p=0.001); portion size had a non-linear effect on eating rate, increasing with portion sizes up to about 540 g (p=0.01). Deceleration rate (reduction in speed of eating) decreased by 20% (p<0.001) and meal duration increased by 22.5% for every 100 g increase in portion size (p<0.001), relative to the smallest portion."
25448648,"BACKGROUND: Pre-operative restaging CT scans are often performed routinely following neoadjuvant chemoradiotherapy for locally advanced rectal cancer. There is a paucity of data on the utility of this common practice. We sought to determine how often restaging CTs identified disease progression or regression that altered management. METHODS: We performed a single-institution retrospective study. From 2007 to 2011, 182 patients had newly-diagnosed, non-metastatic rectal adenocarcinoma, of which 96 were surgical candidates with clinical stage II/III disease. Ninety-one of these patients (95%) completed neoadjuvant chemoradiation. RESULTS: Eighty-three out of 91 patients (91%) had restaging CTs. Four patients (5%) had new lesions suspicious for distant metastasis (2 lung, 2 liver) on restaging CT scan reports (1 of these was present on initial staging CT but not reported). All 4 patients had node-positive disease. In no case did restaging CT result in a change in surgical management."
25445712,"BACKGROUND: Plasma levels of pancreatic polypeptide (PP) rise upon food intake. Although other pancreatic islet hormones, such as insulin and glucagon, have been extensively investigated, PP secretion and actions are still poorly understood. METHODS: The release of PP upon glucose stimulation and the effects of PP on glucagon and insulin secretion were analyzed in isolated pancreatic islets. Expression of PP receptor (PPYR1) was investigated by immunoblotting, quantitative RT-PCR on sorted pancreatic islet cells, and immunohistochemistry. RESULTS: In isolated mouse pancreatic islets, glucose stimulation increased PP release, while insulin secretion was up and glucagon release was down. Direct exposure of islets to PP inhibited glucagon release. In mouse islets, PPYR1 protein was observed by immunoblotting and quantitative RT-PCR revealed PPYR1 expression in the FACS-enriched glucagon alpha-cell fraction. Immunohistochemistry on pancreatic sections showed the presence of PPYR1 in alpha-cells of both mouse and human islets, while the receptor was absent in other islet cell types and exocrine pancreas."
25440267,"BACKGROUND: The interval between neoadjuvant chemoradiation treatment and surgery has been described as an important predictor of pathologic response to therapy in nonesophageal cancer sites. We retrospectively reviewed our experience with patients who underwent neoadjuvant chemoradiation and esophagectomy to better understand the impact of the timing of surgery on pathologic complete response rates in esophageal cancer. METHODS: Two hundred thirty-one sequentially treated patients from 2000 to 2011 were identified for this study; 88 of these patients completed neoadjuvant chemoradiation followed by esophagectomy at our institution. The interval between completion of chemoradiation and surgery was calculated for each patient. The patients were categorized into quartiles and also into 3-week interval groups. Treatment factors and surgical morbidity data, including the estimated blood loss and length of operative stay, were also assessed. RESULTS: Quartiles for the neoadjuvant chemoradiation to surgery interval were less than 45 days, 46 to 50 days, 51 to 63 days, and 64+ days. Corresponding pathologic complete response rates were 12.5%, 20.0%, 22.7%, and 40.9% (p = 0.03). Results for 3-week intervals were similar (p = 0.02). There was no association between increasing time interval between the ending of neoadjuvant chemoradiation to surgery and length of stay longer than 2 weeks."
25440261,"OBJECTIVE: To investigate whether epileptogenic focus localization is possible based on resting state connectivity analysis of magnetoencephalographic (MEG) data. METHODS: A multivariate autoregressive (MVAR) model was constructed using the sensor space data and was projected to the source space using lead field and inverse matrix. The generalized partial directed coherence was estimated from the MVAR model in the source space. The dipole with the maximum information inflow was hypothesized to be within the epileptogenic focus. RESULTS: Applying the focus localization algorithm (FLA) to the interictal MEG recordings from five patients with neocortical epilepsy, who underwent presurgical evaluation for the identification of epileptogenic focus, we were able to correctly localize the focus, on the basis of maximum interictal information inflow in the presence or absence of interictal epileptic spikes in the data, with three out of five patients undergoing resective surgery and being seizure free since."
25432826,"OBJECTIVE: To assess the effect of treatment of seminal Helicobacter pylori in infertile asthenozoospermic men. METHODS: In all, 223 infertile asthenozoospermic men were consecutively selected. They were subjected to history taking, clinical examination, semen analysis, and estimation of H pylori IgA antibodies in their seminal fluid. Infertile men with high seminal H pylori IgA were subjected to triple drug treatment, omeprazole, 20 mg; tinidazole, 500 mg; and clarithromycin, 250 mg twice a day for 2 weeks. Semen analysis as well as H pylori IgA antibodies was estimated after 3 months. RESULTS: In all, 22 of 223 men (9.87%) demonstrated H pylori IgA antibodies in their seminal plasma. After treatment, mean seminal H pylori IgA levels demonstrated significant decrease (1.55 ± 0.4 vs 0.52 ± 0.26; 95% confidence interval, 0.83-1.21; P = .001) concomitant with improved progressive as well as nonprogressive sperm motility. H pylori IgA antibodies demonstrated significant negative correlation with progressive sperm motility, nonprogressive sperm motility, normal sperm morphology, and significant positive correlation with immotile sperm motility."
25447994,"BACKGROUND: In most cells, the cilium is formed within a compartment separated from the cytoplasm. Entry into the ciliary compartment is regulated by a specialized gate located at the base of the cilium in a region known as the transition zone. The transition zone is closely associated with multiple structures of the ciliary base, including the centriole, axoneme, and ciliary membrane. However, the contribution of these structures to the ciliary gate remains unclear. RESULTS: Here we report that, in Drosophila spermatids, a conserved module of transition zone proteins mutated in Meckel-Gruber syndrome (MKS), including Cep290, Mks1, B9d1, and B9d2, comprise a ciliary gate that continuously migrates away from the centriole to compartmentalize the growing axoneme tip. We show that Cep290 is essential for transition zone composition, compartmentalization of the axoneme tip, and axoneme integrity and find that MKS proteins also delimit a centriole-independent compartment in mouse spermatids."
25453030,"BACKGROUND: Active commuters have lower risk of chronic disease. Understanding which of the, to some extent, modifiable characteristics of public transportation that facilitate its use is thus important in a public health perspective. The aim of the study was to examine the association between individual public transportation accessibility and self-reported active commuting, and whether the associations varied with commute distance, age, and gender. METHODS: Twenty-eight thousand nine hundred twenty-eight commuters in The Capital Region of Denmark reported self-reported time spent either walking or cycling to work or study each day and the distance to work or study. Data were obtained from the Danish National Health Survey collected in February to April 2010. Individual accessibility by public transportation was calculated using a multi-modal network in a GIS. Multilevel logistic regression was used to analyze the association between accessibility, expressed as access area, and being an active commuter. RESULTS: Public transport accessibility area based on all stops within walking and cycling distance was positively associated with being an active commuter. Distance to work, age, and gender modified the associations. Residing within 10 km commute distance and in areas of high accessibility was associated with being an active commuter and meeting the recommendations of physical activity. For the respondents above 29 years, individual public transportation accessibility was positively associated with being an active commuter. Women having high accessibility had significantly higher odds of being an active commuter compared to having a low accessibility. For men, the associations were insignificant."
25444989,"OBJECTIVE: Pathophysiological mechanisms leading to chordee in patients with hypospadias and to the hidden state of buried penis in the prepubic fat remain unclear. Resection of dartos tissue usually makes the penis straight in patients with hypospadias and corrects it in those with buried penis, suggesting a common pathophysiology related to dartos tissue. METHODS: Tissue samples from 113 children undergoing primary penile surgery for hypospadias (94 patients), epispadias (1) or buried penis (18) were collected between November 2011 and September 2013. Tissue samples from 79 children undergoing circumcision for nonmedical reasons served as controls. All samples were stained with smooth muscle actin and analyzed by the same pathologist, who was blinded to indication for surgery. Chi-square and Fisher exact tests were applied. RESULTS: Three different dartos tissue patterns were observed. Pattern I (normal) consisted of smooth muscle fibers of dartos tissue organized in a parallel configuration in the subcutaneous tissue. Pattern II was characterized by poorly developed and hypotrophic smooth muscle fibers. Pattern III was determined by randomly distributed smooth muscle fibers in the subcutaneous tissue, without parallel configuration. Pattern I was observed in 45 circumcision specimens (64%). Of buried penis cases 78% were considered abnormal (pattern II in 4 cases and III in 10, p = 0.001). Of hypospadias cases 70% were considered abnormal (pattern II in 31 cases, III in 32, and mixed II and III in 3, p < 0.001). The only epispadias case was designated pattern II."
25444981,"OBJECTIVE: Several risk factors have been claimed to predict the progression of clinically high grade T1 bladder tumors. However, these factors are not specific enough to define which patients should be treated immediately with radical cystectomy. Therefore, it is critical to identify molecular markers that can help provide individualized, risk stratified decision making. Our main goal was to evaluate the role of total p63, p53 and ΔNp63 expression in cases of clinically high grade T1 bladder cancer progression. METHODS: Total p63, p53 and ΔNp63 expression was analyzed by immunohistochemistry in 134 clinically high grade T1 tumors. We assessed clinical progression to muscle invasive disease or radical cystectomy as a patient outcome end point. Survival analysis was done for recurrence-free, progression-free, disease specific and overall survival. RESULTS: A total of 132 patients (98.5%) underwent repeat transurethral resection. Cases of early progression (less than 3 months) were excluded from study to avoid under staging. Of the tumors 90 (67.2%) showed ΔNp63 expression loss. During a median followup of 62.1 months 19 patients (14.2%) progressed to muscle invasive disease. The progression rate was 21.1% in patients with tumors characterized by ΔNp63 loss but no progression was observed in those with tumors with ΔNp63 expression (p <0.001). There was no difference in the number of patients who underwent repeat transurethral resection, had associated carcinoma in situ, showed lymphovascular invasion or received followup intravesical bacillus Calmette-Guérin courses."
25436308,"OBJECTIVE: To date, no data is available about procalcitonin (PCT) levels and its relevance to morbidity and graft function in the early phase after pediatric liver transplantation (pLTx). The aim of this study was to analyse the prognostic relevance of early postoperative PCT elevations in pediatric liver recipients. METHODS: Thirty pediatric patients who underwent 32 liver transplantations were included into this observational single-center study. RESULTS: Patients with high PCT levels on postoperative day (POD) 2 had higher International Normalized Ratio values on POD 5 (p<0.05) and suffered more often from primary graft non-function (p<0.05). They also had a longer stay in the pediatric intensive care unit (p<0.01) and on mechanical ventilation (p=0.001). There was no correlation between PCT elevation and systemic infection. However, PCT levels were correlated with peak serum lactate levels immediately after graft reperfusion and elevation of serum aminotransferases on POD 1 (r2=0.61, p<0.001)."
25436304,"OBJECTIVE: The purpose of this study was to assess liver-type fatty acid-binding protein (L-FABP) expression and its association with clinicopathological features in hepatocellular carcinoma (HCC). METHODS: L-FABP mRNA expression in 57 samples of HCC and corresponding adjacent liver tissue and 8 normal liver tissue samples were examined by real-time reverse transcriptase (RT)–PCR analyses. Tissue microarray technique and immunohistochemistry (IHC) were used to detect the expression of L-FABP in 163 HCCs. The association between L-FABP expression and the clinicopathological factors and prognosis was analyzed. RESULTS: The average expression of L-FABP mRNA was 0.233 in the HCC tissues, 1.407 in the peri-carcinoma tissues, and 1.0 in the normal liver tissues. IHC analysis showed that there were 47% (76/163) HCCs exhibited weak or even no immunoreactivity of L-FABP. The L-FABP expression in HCC showed significant associations with preoperative levels of AFP (p=0.039), tumor size (p=0.026), histological grade (p=0.000), differential degree (p=0.000), vascular invasion (p=0.016), capsular invasion (p=0.029) and recurrence (p=0.004). Patients with L-FABP high-expression showed better prognosis than patients with L-FABP low-expression (p=0.008)."
25446283,"BACKGROUND: Vein bypass is an essential therapy for patients with advanced peripheral and coronary artery disease despite development of neointimal hyperplasia. We have shown that stimulation of the receptor tyrosine kinase ephrin type-B receptor 4 (Eph-B4) with its ligand ephrin-B2 prevents neointimal hyperplasia in murine vein grafts. This study determines whether Eph-B4 in adult human veins is capable of phosphorylation and activation of downstream signaling pathways, as well as functional to release nitric oxide (NO) and prevent neointimal hyperplasia in vitro. METHODS: Discarded human saphenous veins were taken from the operating room and placed in organ culture without or with ephrin-B2/Fc (2 μg/mL) for 14 days, and the neointima/media ratio was measured in matched veins. Primary human umbilical vein endothelial cells were treated with ephrin-B2/Fc (2 μg/mL) and examined with quantitative polymerase chain reaction, Western blot, immunoassays, and for release of NO. Ephrin-B2/Fc (2 μg/mL) was placed on the adventitia of saphenous veins treated with arterial shear stress for 24 hours in a bioreactor and activated Eph-B4 examined with immunofluorescence. RESULTS: The baseline intima/media ratio in saphenous vein rings was 0.456 ± 0.097, which increased to 0.726 ± 0.142 in untreated veins after 14 days in organ culture but only to 0.630 ± 0.132 in veins treated with ephrin-B2/Fc (n = 19, P = .017). Ephrin-B2/Fc stimulated Akt, endothelial NO synthase and caveolin-1 phosphorylation, and NO release (P = .007) from human umbilical vein endothelial cells (n = 6). Ephrin-B2/Fc delivered to the adventitia stimulated endothelial Eph-B4 phosphorylation after 24 hours of arterial stress in a bioreactor (n = 3)."
25438665,"OBJECTIVE: Low serum levels of vitamin D have been associated with depression in non-stroke subjects. Our aim was to examine the possible association between serum vitamin D levels and the development of post-stroke depression (PSD). METHODS: In total, 189 patients with acute ischaemic stroke were consecutively recruited. Serum levels of 25-hydroxyvitamin D [25(OH)D] were measured by competitive protein-binding assay within 24 h after admission. The 17-item Hamilton Depression Scale was used for screening for the existence of depressive symptoms at 1 month after stroke. Patients with a Hamilton Depression Scale score of ≥7 were given the Structured Clinical Interview of the Diagnostic and Statistical Manual of Mental Disorders, 4th edition, for diagnosis of PSD. Meanwhile, 100 healthy control subjects were also recruited and underwent measurement of 25(OH)D. RESULTS: Fifty-five patients (29.1%) were diagnosed as having PSD at 1 month. Serum vitamin D levels within 24 h after admission were significantly lower in both non-PSD patients and PSD patients than in normal controls. PSD patients had significantly lower vitamin D than non-PSD patients. Serum vitamin D levels (≤37.1 and ≥64.1 nmol/l) were independently associated with the development of PSD (odds ratio 8.824, 95% confidence interval 2.011-38.720, P = 0.004, and odds ratio 0.127, 95% confidence interval 0.022-0.718, P = 0.020, respectively)."
