pubid,question,answer,rank,cosine_similarity
25433161,Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,yes,16,0.553593
25433161,Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,yes,17,0.553559
25433161,Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,yes,18,0.547513
25433161,Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,yes,19,0.546169
25433161,Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,yes,20,0.539553
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,1,0.699452
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,2,0.636909
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,3,0.582607
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,4,0.540714
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,5,0.540714
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,6,0.536698
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,7,0.536438
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,8,0.535854
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,9,0.534542
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,10,0.511045
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,11,0.503315
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,12,0.470728
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,13,0.470358
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,14,0.467340
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,15,0.464673
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,16,0.463314
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,17,0.463219
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,18,0.459209
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,19,0.443707
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,yes,20,0.443461
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,1,0.848867
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,2,0.835169
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,3,0.812568
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,4,0.782624
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,5,0.739567
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,6,0.731620
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,7,0.724630
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,8,0.680226
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,9,0.643141
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,10,0.630617
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,11,0.628354
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,12,0.626610
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,13,0.621699
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,14,0.621563
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,15,0.621077
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,16,0.619961
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,17,0.613501
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,18,0.613005
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,19,0.602300
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,yes,20,0.596821
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,1,0.810323
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,2,0.776207
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,3,0.774312
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,4,0.760694
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,5,0.736150
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,6,0.730141
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,7,0.728184
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,8,0.722578
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,9,0.722506
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,10,0.720110
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,11,0.705645
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,12,0.704576
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,13,0.700211
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,14,0.688302
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,15,0.681805
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,16,0.679963
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,17,0.675408
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,18,0.673683
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,19,0.659751
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,yes,20,0.645506
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,1,0.854670
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,2,0.841185
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,3,0.839254
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,4,0.833715
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,5,0.831123
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,6,0.827383
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,7,0.825228
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,8,0.822427
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,9,0.819151
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,10,0.816597
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,11,0.809236
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,12,0.803375
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,13,0.802153
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,14,0.801140
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,15,0.795886
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,16,0.793988
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,17,0.793188
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,18,0.779127
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,19,0.778591
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,yes,20,0.759744
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,1,0.845672
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,2,0.841769
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,3,0.795574
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,4,0.784667
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,5,0.781247
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,6,0.776814
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,7,0.773235
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,8,0.772189
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,9,0.768271
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,10,0.768246
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,11,0.764560
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,12,0.761703
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,13,0.756213
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,14,0.753893
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,15,0.751970
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,16,0.750348
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,17,0.744554
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,18,0.740721
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,19,0.735287
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,yes,20,0.730132
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,1,0.823864
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,2,0.820102
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,3,0.820102
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,4,0.782862
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,5,0.782391
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,6,0.756991
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,7,0.743172
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,8,0.742773
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,9,0.742455
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,10,0.733048
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,11,0.727227
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,12,0.713952
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,13,0.707278
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,14,0.705351
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,15,0.702026
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,16,0.699191
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,17,0.690759
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,18,0.689490
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,19,0.687066
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,yes,20,0.686937
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,1,0.815474
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,2,0.783075
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,3,0.782034
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,4,0.739919
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,5,0.721315
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,6,0.704492
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,7,0.688181
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,8,0.681812
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,9,0.681656
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,10,0.662628
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,11,0.651327
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,12,0.630254
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,13,0.613568
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,14,0.613262
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,15,0.612407
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,16,0.606177
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,17,0.605446
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,18,0.603339
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,19,0.600989
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,yes,20,0.597527
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,1,0.938277
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,2,0.879106
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,3,0.844921
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,4,0.778573
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,5,0.760707
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,6,0.755191
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,7,0.754573
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,8,0.744014
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,9,0.742350
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,10,0.736538
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,11,0.705323
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,12,0.701974
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,13,0.701689
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,14,0.696854
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,15,0.696126
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,16,0.687931
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,17,0.686849
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,18,0.679348
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,19,0.677004
25447567,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,yes,20,0.673992
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,1,0.789551
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,2,0.769358
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,3,0.764280
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,4,0.736175
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,5,0.669945
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,6,0.649202
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,7,0.649066
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,8,0.646501
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,9,0.642681
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,10,0.629673
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,11,0.579722
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,12,0.574967
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,13,0.570224
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,14,0.564613
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,15,0.562061
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,16,0.555599
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,17,0.555139
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,18,0.541048
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,19,0.538204
25445624,Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,yes,20,0.535307
25445628,Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?,yes,1,0.889643
25445628,Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?,yes,2,0.861245
25445628,Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?,yes,3,0.857781
25445628,Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?,yes,4,0.834950
25445628,Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?,yes,5,0.832853
25445628,Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?,yes,6,0.816272
25445628,Are [ Higher nitric oxide levels associated with disease activity in Egyptian rheumatoid arthritis patients ]?,yes,7,0.815496
