paragraph_id,proposition_id,quad_index,triple_similarity,qa_similarity
1185,18536,2,0.395254,0.364380
1185,18536,3,0.469349,0.498010
1185,18536,4,0.778826,0.782112
1186,18539,1,1.000000,0.453896
1186,18539,2,0.961426,0.878883
1186,18542,1,1.000000,0.851774
1186,18544,1,0.700531,0.593316
1186,18541,1,0.863628,0.625169
1186,18541,2,0.844225,0.789031
1186,18541,3,0.837903,0.544135
1186,18541,4,0.808318,0.620920
1186,18541,5,0.799478,0.681059
1186,18541,6,0.758169,0.718855
1186,18543,1,0.677340,0.460318
1186,18543,2,0.687647,0.445498
1186,18543,3,0.680149,0.756488
1186,18545,1,0.711447,0.540919
1186,18545,2,0.931581,0.750539
1186,18546,1,1.000000,0.867684
1186,18547,1,0.857691,0.876620
1186,18547,2,0.817622,0.869740
1186,18547,3,0.868822,0.714127
1186,18548,1,1.000000,0.737954
1187,18551,1,1.000000,0.849765
1187,18550,1,1.000000,0.883870
1186,18549,1,0.958246,0.889762
1187,18554,1,1.000000,0.884713
1187,18552,1,0.665373,0.827425
1187,18552,2,0.931765,0.898521
1187,18552,3,0.709971,0.644259
1187,18552,4,0.208261,0.186503
1187,18555,1,0.690760,0.530131
1187,18555,2,0.850481,0.793898
1187,18557,1,0.996872,0.671939
1187,18553,1,0.768023,0.639567
1187,18553,2,0.748055,0.675157
1187,18553,3,0.638058,0.590533
1187,18553,4,0.673520,0.611329
1187,18553,5,0.564290,0.656612
1187,18556,1,0.754577,0.732023
1187,18556,2,0.852687,0.728011
1187,18556,3,0.795302,0.771135
1187,18556,4,0.788030,0.774001
1187,18558,1,0.815736,0.625589
1188,18563,1,1.000000,0.955474
1187,18560,1,0.873521,0.705989
1187,18560,2,0.808606,0.296498
1187,18560,3,0.690734,0.745773
1187,18560,4,0.688403,0.719048
1187,18561,1,0.555076,0.418430
1187,18561,2,0.580688,0.618515
1187,18561,3,0.735776,0.625882
1187,18561,4,0.753839,0.551072
1187,18559,1,0.667686,0.596148
1187,18559,2,0.627588,0.625572
1187,18559,3,0.608518,0.479502
1188,18562,1,0.938988,0.950910
1188,18562,2,0.933594,0.780739
1188,18566,1,0.857605,0.916166
1188,18566,2,0.969926,0.923556
1188,18569,1,0.936604,0.832853
1188,18569,2,0.613180,0.498327
1188,18567,1,0.909010,0.834738
1188,18567,2,0.911145,0.713943
1188,18568,1,0.928305,0.839047
1188,18568,2,0.657888,0.400021
1188,18568,3,0.809833,0.773193
1188,18564,1,0.328870,0.385912
1188,18564,2,0.951996,0.811248
1188,18564,3,0.869743,0.807329
1188,18564,4,0.370811,0.310738
1188,18565,1,0.517076,0.328978
1188,18565,2,0.953821,0.835839
1188,18565,3,0.822983,0.876773
1188,18565,4,0.713640,0.655852
1188,18565,5,0.685310,0.675657
1189,18572,1,0.512538,0.445667
1189,18572,2,0.437948,0.358886
1189,18572,3,0.808470,0.739966
1188,18570,1,0.928041,0.902948
1188,18570,2,0.635436,0.637367
1189,18574,1,1.000000,0.792921
1189,18575,1,0.622079,0.692977
1189,18575,2,0.791327,0.613689
1189,18573,1,0.857740,0.769764
1189,18573,2,0.889223,0.788911
1189,18573,3,0.786105,0.751254
1189,18573,4,0.800626,0.769060
1189,18576,1,0.646921,0.477632
1189,18576,2,0.699671,0.641897
1189,18576,3,0.836308,0.746316
1189,18578,1,0.851508,0.757509
1189,18578,2,0.930305,0.867039
1189,18579,1,0.736410,0.566002
1189,18579,2,0.794908,0.685146
1189,18581,1,0.940651,0.726151
1189,18581,2,0.962730,0.749606
1189,18580,1,0.844699,0.708600
1189,18580,2,0.955261,0.812467
1189,18580,3,0.941767,0.813994
1189,18577,1,0.737947,0.786152
1189,18577,2,0.288302,0.309473
1189,18577,3,0.733841,0.658178
1189,18577,4,0.765528,0.692761
1189,18577,5,0.726407,0.730695
1189,18583,1,0.933183,0.789645
1189,18583,2,0.963099,0.800495
1190,18585,1,0.899162,0.748136
1189,18582,1,0.950155,0.748063
1189,18582,2,0.959525,0.713873
1189,18584,1,0.913054,0.849851
1189,18584,2,0.959330,0.898354
1189,18584,3,0.524226,0.339250
1188,18571,1,0.629864,0.627141
1188,18571,2,0.510400,0.606719
1188,18571,3,0.519063,0.502482
1188,18571,4,0.506583,0.544176
1188,18571,5,0.551070,0.575549
1188,18571,6,0.558580,0.536056
1188,18571,7,0.586591,0.610993
1188,18571,8,0.515343,0.539784
1188,18571,9,0.532668,0.572234
1188,18571,10,0.514991,0.553826
1188,18571,11,0.567523,0.583052
1188,18571,12,0.393804,0.416921
1188,18571,13,0.194473,0.562204
1190,18586,1,1.000000,0.941705
1190,18587,1,0.899228,0.793752
1190,18588,1,0.887235,0.881149
1190,18588,2,0.904710,0.860492
1190,18588,3,0.792445,0.850938
1190,18590,1,0.603655,0.625296
1190,18590,2,0.841348,0.764062
1190,18590,3,0.808730,0.822256
1190,18591,1,0.978200,0.904590
1190,18591,2,0.949949,0.818550
1190,18589,1,0.512886,0.404363
1190,18589,2,1.000000,0.922317
1190,18593,1,1.000000,0.987833
1190,18594,1,1.000000,1.000000
1190,18596,1,0.840888,0.798826
1190,18596,2,0.961873,0.927523
1190,18597,1,0.932627,0.596409
1190,18597,2,0.792433,0.631971
1190,18597,3,0.419315,0.367063
1190,18592,1,0.925790,0.779767
1190,18592,2,0.637901,0.625757
1190,18599,1,0.895206,0.598033
1190,18599,2,0.783825,0.874223
1190,18598,1,0.959615,0.920414
1190,18598,2,0.757587,0.817689
1190,18595,1,0.881041,0.858659
1190,18595,2,0.932161,0.796059
1190,18595,3,0.524190,0.442639
1190,18595,4,0.391077,0.355326
1191,18602,1,0.805973,0.723242
1190,18600,1,1.000000,0.667975
1191,18603,1,0.893768,0.769176
1190,18601,1,0.905020,0.837062
1190,18601,2,0.850320,0.614639
1191,18606,1,0.823408,0.462291
1191,18606,2,0.865221,0.717773
1191,18605,1,0.336308,0.370924
1191,18605,2,0.732857,0.536911
1191,18605,3,0.622581,0.501134
1191,18605,4,0.707931,0.615937
1191,18608,1,0.495622,0.443351
1191,18608,2,0.839625,0.633540
1191,18607,1,0.919676,0.711169
1191,18607,2,0.901295,0.629316
1191,18607,3,0.191798,0.593367
1191,18609,1,0.806055,0.695763
1191,18609,2,0.883601,0.809261
1191,18609,3,0.885839,0.731955
1191,18609,4,0.867428,0.788397
1191,18609,5,0.869773,0.776953
1191,18609,6,0.239894,0.244513
1191,18613,1,0.842009,0.707449
1191,18613,2,0.863918,0.812714
1191,18610,1,0.842918,0.819956
1191,18610,2,0.794371,0.749381
1191,18610,3,0.827315,0.683897
1191,18610,4,0.699293,0.543487
1191,18610,5,0.208806,0.246784
1191,18612,1,0.892622,0.818118
1191,18612,2,0.812194,0.718424
1191,18612,3,0.793003,0.681419
1191,18612,4,0.793173,0.743155
1191,18611,1,0.818734,0.659520
1191,18611,2,0.701956,0.638102
1191,18611,3,0.791500,0.714477
1191,18611,4,0.856777,0.856129
1191,18611,5,0.281217,0.333876
1191,18604,1,0.805623,0.884946
1191,18604,2,0.838875,0.608193
1191,18604,3,0.608020,0.460080
1191,18604,4,0.526842,0.456698
1192,18614,1,0.614773,0.762341
1192,18614,2,0.763712,0.686577
1192,18614,3,0.890021,0.799597
1192,18617,1,1.000000,0.837038
1192,18615,1,0.782650,0.755427
1192,18615,2,0.606780,0.570353
1192,18615,3,0.841752,0.574280
1192,18616,1,0.963580,0.910609
1192,18620,1,0.909669,0.735405
1192,18621,1,0.861549,0.892141
1192,18621,2,0.827095,0.830461
1192,18618,1,1.000000,0.728288
1192,18619,1,0.818359,0.729696
1192,18619,2,0.985092,0.396123
1193,18624,1,1.000000,0.848132
1192,18622,1,0.715892,0.654089
1192,18622,2,0.582261,0.564439
1192,18622,3,0.421622,0.359987
1193,18625,1,1.000000,0.918289
1193,18626,1,0.792853,0.513542
1193,18626,2,0.936073,0.794109
1193,18626,3,0.672592,0.620206
1193,18627,1,0.617004,0.452562
1193,18627,2,0.845688,0.719024
1193,18627,3,0.595871,0.528759
1192,18623,1,0.894585,0.749330
1192,18623,2,0.934815,0.858167
1192,18623,3,0.685081,0.706068
1192,18623,4,0.646452,0.540420
1193,18628,1,0.733125,0.618570
1193,18628,2,0.850454,0.700490
1193,18628,3,0.661614,0.570424
1193,18629,1,0.740876,0.688739
1193,18629,2,0.796252,0.649897
1193,18629,3,0.828536,0.627290
1193,18631,1,0.932258,0.934885
1193,18630,1,0.872633,0.935058
1193,18630,2,0.957686,0.945890
1193,18630,3,0.763903,0.737957
1193,18634,1,1.000000,0.907576
1193,18634,2,0.762640,0.613574
1193,18634,3,0.705433,0.763451
1193,18635,1,0.949063,0.925436
1193,18635,2,0.605658,0.525642
1193,18633,1,0.865021,0.742973
1193,18633,2,0.685277,0.620358
1194,18637,1,0.882954,0.763436
1194,18637,2,0.847296,0.708584
1194,18637,3,0.788289,0.791656
1194,18638,1,0.838769,0.801774
1194,18638,2,0.742960,0.675316
1194,18638,3,0.978639,0.939853
1194,18640,1,0.870066,0.915118
1194,18639,1,0.903486,0.818186
1194,18639,2,0.891669,0.895177
1194,18639,3,0.748977,0.922869
1194,18641,1,0.851869,0.714370
1193,18636,1,0.748314,0.599683
1193,18636,2,0.668958,0.870560
1193,18636,3,0.888560,0.842130
1194,18642,1,0.995085,0.533777
1193,18632,1,1.000000,0.916951
1193,18632,2,0.750126,0.668704
1193,18632,3,0.548458,0.459245
1193,18632,4,0.300930,0.296437
1194,18643,1,1.000000,0.662525
1194,18647,1,0.990360,0.963809
1194,18647,2,0.574348,0.935577
1194,18645,1,0.885723,0.688241
1194,18645,2,0.768508,0.764339
1194,18645,3,0.625489,0.705984
1194,18646,1,0.859813,0.834717
1194,18646,2,0.845410,0.796869
1194,18646,3,0.525088,0.418067
1194,18644,1,0.977370,0.869195
1194,18644,2,0.861651,0.849641
1194,18652,1,0.961671,0.897722
1194,18652,2,0.847576,0.728136
1194,18652,3,0.918123,0.819190
1194,18649,1,0.957246,0.854342
1194,18649,2,0.812828,0.747497
1194,18649,3,0.349576,0.376783
1194,18649,4,0.911363,0.574371
1194,18651,1,0.957665,0.902632
1194,18651,2,0.754418,0.714425
1194,18651,3,0.386436,0.243466
1194,18651,4,0.929522,0.905881
1194,18648,1,0.894612,0.894286
1194,18648,2,0.853552,0.870750
1194,18648,3,0.894612,0.888782
1194,18648,4,0.853552,0.876201
1194,18650,1,0.957959,0.882246
1194,18650,2,0.860310,0.761425
1194,18650,3,0.392119,0.317167
1194,18650,4,0.964025,0.895811
1194,18653,1,0.956392,0.866265
1194,18653,2,0.902293,0.842719
1195,18656,1,1.000000,0.628232
1195,18659,1,0.894636,0.821611
1195,18657,1,0.795580,0.792516
1195,18657,2,0.823494,0.792516
1195,18657,3,0.626018,0.513762
1195,18658,1,0.823633,0.782015
1195,18658,2,0.789439,0.746114
1195,18658,3,0.825936,0.772093
1194,18655,1,0.956103,0.849965
1194,18655,2,0.872492,0.779990
1194,18655,3,0.823244,0.791030
1194,18655,4,0.920563,0.893547
1194,18654,1,0.951355,0.858408
1194,18654,2,0.898947,0.862343
1195,18660,1,0.906444,0.872819
1195,18660,2,0.923737,0.914204
1195,18660,3,0.924780,0.906814
1195,18663,1,1.000000,0.888988
1195,18664,1,0.884887,0.819876
1195,18664,2,0.714351,0.732280
1195,18662,1,0.899499,0.899819
1195,18662,2,0.913273,0.921452
1195,18662,3,0.737233,0.705228
1196,18669,1,0.916170,0.855393
1195,18665,1,0.606102,0.685602
1195,18665,2,0.469995,0.662452
1195,18665,3,0.898377,0.869487
1195,18661,1,0.856484,0.671398
1195,18661,2,0.603859,0.611309
1195,18661,3,0.638129,0.592957
1195,18661,4,0.827015,0.711490
1195,18661,5,0.569906,0.310633
1195,18661,6,0.513788,0.536934
1195,18668,1,0.947777,0.848143
1195,18668,2,0.650483,0.557277
1195,18666,1,0.726165,0.588445
1195,18666,2,0.684580,0.670613
1195,18666,3,0.800469,0.804970
1195,18667,1,0.954107,0.898735
1195,18667,2,0.575731,0.534155
1195,18667,3,0.547461,0.519444
1196,18673,1,0.878873,0.604763
1196,18673,2,0.791495,0.483098
1196,18671,1,0.843478,0.612611
1196,18671,2,0.863339,0.646929
1196,18670,1,0.608892,0.522778
1196,18670,2,0.900815,0.762450
1196,18670,3,0.727939,0.676989
1196,18675,1,0.824381,0.614894
1196,18675,2,0.852952,0.763701
1196,18674,1,1.000000,0.897507
1196,18676,1,1.000000,0.744178
1196,18672,1,0.361647,0.262784
1196,18672,2,0.299464,0.344537
1196,18672,3,0.478945,0.298529
1196,18672,4,0.537047,0.503388
1196,18672,5,0.447709,0.290244
1196,18680,1,0.895472,0.896053
1196,18680,2,0.267407,0.248782
1196,18678,1,0.944258,0.829325
1196,18678,2,0.890880,0.764234
1196,18679,1,0.782744,0.688222
1196,18677,1,0.821414,0.726883
1196,18677,2,0.859374,0.751362
1196,18677,3,0.813215,0.735325
1196,18677,4,0.742728,0.745688
1197,18682,1,0.972988,0.501754
1197,18684,1,0.869261,0.792588
1197,18684,2,0.847737,0.754095
1197,18683,1,0.843989,0.734734
1197,18683,2,0.686433,0.550803
1197,18687,1,0.927868,0.805640
1197,18687,2,0.766165,0.540103
1197,18681,1,0.581746,0.321813
1197,18681,2,0.742919,0.633925
1197,18681,3,0.673078,0.618282
1197,18681,4,0.858555,0.771146
1197,18681,5,0.675925,0.641482
1197,18685,1,0.912549,0.835398
1197,18685,2,0.890080,0.825548
1197,18685,3,0.359890,0.467153
1197,18688,1,1.000000,0.875616
1197,18690,1,0.543062,0.513418
1197,18690,2,0.927921,0.842856
1197,18686,1,0.732490,0.537648
1197,18686,2,0.747195,0.537648
1197,18686,3,0.827027,0.660956
1197,18686,4,0.472913,0.556184
1197,18686,5,0.716621,0.518991
1198,18692,1,0.932814,0.828831
1198,18692,2,0.765188,0.470666
1198,18691,1,0.894878,0.839188
1198,18691,2,0.474064,0.834783
1197,18689,1,0.777071,0.659436
1197,18689,2,0.687058,0.678726
1197,18689,3,0.854332,0.833450
1197,18689,4,0.713614,0.837107
1198,18694,1,1.000000,0.728261
1198,18695,1,1.000000,0.636327
1198,18693,1,0.645012,0.642794
1198,18693,2,0.829092,0.508602
1198,18693,3,0.779745,0.641812
1198,18693,4,0.448806,0.298218
1198,18696,1,0.942559,0.793371
1198,18699,1,0.816901,0.785499
1198,18697,1,0.896057,0.763593
1198,18697,2,0.832790,0.712567
1198,18697,3,0.587480,0.440716
1198,18697,4,0.847551,0.716807
1198,18698,1,0.926794,0.696435
1198,18698,2,0.726227,0.711902
1198,18698,3,0.649960,0.825978
1199,18703,1,0.955235,0.685469
1199,18701,1,0.951092,0.697736
1199,18702,1,0.910576,0.867687
1199,18702,2,0.866111,0.864865
1199,18702,3,1.000000,0.892580
1199,18705,1,0.731267,0.618404
1199,18705,2,0.721968,0.443439
1199,18706,1,0.980219,0.936387
1199,18706,2,0.628704,0.674375
1199,18706,3,0.620705,0.543098
1199,18704,1,0.261904,0.361932
1199,18704,2,0.945867,0.835523
1199,18704,3,0.879832,0.847481
1199,18700,1,0.939731,0.832934
1199,18700,2,0.925950,0.842118
1199,18700,3,0.578032,0.538893
1199,18711,1,0.874297,0.581994
1199,18709,1,0.831195,0.634618
1199,18709,2,0.825764,0.621933
1199,18707,1,0.829843,0.953231
1199,18707,2,0.787107,0.728141
1199,18707,3,0.757818,0.740206
1199,18707,4,0.520039,0.360391
1199,18710,1,0.778837,0.820099
1199,18710,2,0.820959,0.649668
1199,18710,3,0.828842,0.766691
1200,18713,1,1.000000,0.967138
1199,18708,1,0.792252,0.838706
1199,18708,2,0.760070,0.660082
1199,18708,3,0.716401,0.706347
1199,18708,4,0.863437,0.720091
1199,18712,1,0.898290,0.697889
1199,18712,2,0.905630,0.709715
1200,18715,1,0.937031,0.792838
1200,18714,1,0.779863,0.649289
1200,18714,2,0.768667,0.646191
1200,18714,3,0.821139,0.740870
1200,18716,1,0.922570,0.840239
1200,18716,2,0.910838,0.800563
1200,18716,3,1.000000,0.964765
1200,18718,1,0.904206,0.827773
1200,18718,2,0.894876,0.849079
1200,18719,1,0.918690,0.945442
1200,18719,2,0.758892,0.627474
1200,18717,1,0.901384,0.884505
1200,18717,2,0.930052,0.884505
1200,18717,3,0.905586,0.884505
1200,18717,4,0.764067,0.614613
1200,18721,1,0.907320,0.795888
1200,18721,2,0.911625,0.825675
1200,18721,3,0.894364,0.893783
1200,18720,1,0.707251,0.763166
1200,18720,2,0.461429,0.616757
1200,18720,3,0.706695,0.788136
1200,18720,4,0.728294,0.766325
1200,18722,1,0.894537,0.646723
1200,18722,2,0.843767,0.694547
1200,18725,1,0.900032,0.947539
1200,18725,2,0.925329,0.917161
1200,18723,1,0.709494,0.550482
1200,18723,2,0.855047,0.814217
1200,18723,3,0.685764,0.593726
1200,18723,4,0.505530,0.491783
1200,18724,1,0.698955,0.890352
1200,18724,2,0.633066,0.619075
1200,18724,3,0.657695,0.595145
1200,18724,4,0.685501,0.509695
1201,18726,1,1.000000,0.930960
1201,18728,1,0.755295,0.572898
1201,18728,2,0.824969,0.574772
1201,18728,3,0.432648,0.626356
1201,18731,1,0.739186,0.641755
1201,18727,1,0.474173,0.541487
1201,18727,2,0.838184,0.862406
1201,18727,3,0.861077,0.879410
1201,18727,4,0.835041,0.864108
1201,18732,1,0.800253,0.829666
1201,18729,1,0.843426,0.771323
1201,18729,2,0.755565,0.779534
1201,18729,3,0.353361,0.298091
1201,18730,1,0.892046,0.843731
1201,18730,2,0.973280,0.782376
1201,18736,1,1.000000,0.957903
1201,18738,1,0.875840,0.835545
1201,18733,1,0.607486,0.509486
1201,18733,2,0.759844,0.600100
1201,18733,3,0.807975,0.723638
1201,18733,4,0.644433,0.678981
1201,18735,1,0.810610,0.634508
1201,18735,2,0.887250,0.702788
1201,18735,3,0.736917,0.628458
1202,18739,1,1.000000,0.702267
1201,18737,1,0.907987,0.804550
1201,18737,2,0.538545,0.438549
1201,18734,1,0.612085,0.536473
1201,18734,2,0.567406,0.457145
1201,18734,3,0.596950,0.335428
1201,18734,4,0.560999,0.460955
1202,18741,1,1.000000,0.871300
1202,18740,1,0.836715,0.631639
1202,18740,2,0.788365,0.584296
1202,18740,3,0.599922,0.422177
1202,18742,1,0.699458,0.769332
1202,18742,2,1.000000,0.909574
1203,18745,1,0.988429,0.947603
1203,18746,1,0.944183,0.370479
1202,18744,1,1.000000,0.907420
1202,18744,2,0.539465,0.213635
1202,18744,3,0.617880,0.505700
1203,18749,1,0.651092,0.561989
1203,18749,2,0.939372,0.860262
1203,18748,1,0.895280,0.814629
1203,18748,2,0.446983,0.318621
1203,18748,3,0.469584,0.420801
1203,18747,1,0.408892,0.439281
1203,18747,2,0.452975,0.412988
1203,18747,3,0.681590,0.627178
1203,18747,4,0.928595,0.895010
1202,18743,1,0.782922,0.459671
1202,18743,2,0.724225,0.670914
1202,18743,3,0.705522,0.598597
1202,18743,4,0.722532,0.592988
1202,18743,5,0.713753,0.715118
1202,18743,6,0.558907,0.487030
1203,18752,1,0.982807,0.949230
1203,18750,1,0.373308,0.237332
1203,18750,2,0.931037,0.891166
1203,18750,3,0.944287,0.950320
1203,18750,4,0.900545,0.901200
1203,18755,1,0.930469,0.965510
1203,18755,2,0.995123,0.961936
1203,18755,3,0.979410,0.940175
1203,18751,1,0.863487,0.876612
1203,18751,2,0.856990,0.847089
1203,18751,3,0.863361,0.878866
1203,18751,4,0.918700,0.895513
1203,18751,5,0.886313,0.902210
1203,18754,1,0.661002,0.889424
1203,18754,2,0.921701,0.910712
1203,18754,3,0.919563,0.886751
1203,18756,1,1.000000,0.960266
1204,18757,1,0.874070,0.815742
1204,18757,2,0.639028,0.391905
1204,18757,3,0.845649,0.587703
1204,18758,1,1.000000,0.711958
1203,18753,1,1.000000,0.971282
1204,18760,1,0.793060,0.682251
1204,18759,1,0.859037,0.830042
1204,18759,2,0.731888,0.741030
1204,18759,3,0.755633,0.724223
1204,18759,4,0.779856,0.740034
1205,18764,1,1.000000,0.725786
1205,18765,1,0.862670,0.779984
1205,18765,2,0.821695,0.751345
1204,18762,1,0.573861,0.634677
1204,18762,2,0.770670,0.756859
1204,18762,3,0.863038,0.759949
1204,18763,1,0.758975,0.524653
1204,18763,2,0.627724,0.505242
1204,18763,3,0.857883,0.800117
1204,18763,4,0.698727,0.631082
1205,18769,1,0.855674,0.680018
1205,18768,1,0.894013,0.820678
1205,18768,2,0.757636,0.698576
1205,18768,3,0.232445,0.348148
1205,18766,1,0.234270,0.249681
1205,18766,2,0.962127,0.943957
1205,18766,3,0.889142,0.675313
1205,18767,1,0.852182,0.709497
1205,18767,2,0.898048,0.811249
1205,18767,3,0.893092,0.811716
1205,18767,4,0.892950,0.853894
1205,18770,1,0.929063,0.777265
1204,18761,1,0.759844,0.725581
1204,18761,2,0.740845,0.676507
1204,18761,3,0.590473,0.628580
1204,18761,4,0.543936,0.628580
1204,18761,5,0.617839,0.628580
1204,18761,6,0.594227,0.628580
1204,18761,7,0.713981,0.596563
1204,18761,8,0.504121,0.571887
1204,18761,9,0.550170,0.575172
1205,18771,1,1.000000,0.919099
1205,18771,2,0.774884,0.608565
1205,18775,1,0.806629,0.460346
1205,18775,2,0.930162,0.816199
1205,18772,1,0.868547,0.685036
1205,18772,2,0.850610,0.780594
1205,18777,1,0.765269,0.568795
1205,18777,2,0.922390,0.809781
1205,18774,1,0.833548,0.824610
1205,18774,2,0.889976,0.822216
1205,18774,3,0.798215,0.715044
1205,18774,4,0.733429,0.669040
1206,18779,1,0.972910,0.919670
1206,18779,2,0.538422,0.335338
1205,18776,1,0.939682,0.718889
1205,18776,2,0.952390,0.806081
1205,18776,3,0.877953,0.831846
1205,18776,4,0.831895,0.806081
1205,18776,5,0.863012,0.826253
1206,18778,1,0.794814,0.675883
1206,18778,2,0.781100,0.629939
1206,18778,3,0.580867,0.416116
1205,18773,1,0.883313,0.810071
1205,18773,2,0.871639,0.804693
1205,18773,3,0.873767,0.673036
1205,18773,4,0.775797,0.682396
1205,18773,5,0.727646,0.701051
1205,18773,6,0.920804,0.845719
1205,18773,7,0.912056,0.805245
1205,18773,8,0.887650,0.788632
1206,18780,1,0.831244,0.804298
1206,18780,2,0.606563,0.566244
1206,18781,1,0.926499,0.567778
1206,18786,1,0.925210,0.468416
1206,18785,1,1.000000,0.905420
1206,18787,1,0.829392,0.620593
1206,18787,2,0.771888,0.478731
1206,18782,1,0.932955,0.521748
1206,18782,2,0.805979,0.425621
1206,18782,3,0.695457,0.582268
1206,18784,1,0.764081,0.670833
1206,18784,2,0.667684,0.300495
1206,18784,3,0.533778,0.279696
1206,18783,1,0.425116,0.454228
1206,18783,2,0.612879,0.606239
1206,18783,3,0.782805,0.444424
1206,18783,4,0.308216,0.350059
1206,18789,1,0.950794,0.773579
1206,18788,1,0.780474,0.738788
1206,18788,2,0.797902,0.761582
1206,18791,1,1.000000,0.744999
1206,18792,1,0.866777,0.634523
1206,18792,2,0.353542,0.335431
1206,18794,1,0.783474,0.672617
1206,18794,2,0.742311,0.582242
1206,18794,3,0.736686,0.635769
1206,18793,1,0.918992,0.811631
1206,18793,2,0.898232,0.814005
1206,18793,3,0.925741,0.830779
1206,18795,1,0.835012,0.780710
1206,18795,2,0.866632,0.837681
1206,18795,3,0.815490,0.721729
1206,18797,1,0.905268,0.827276
1206,18797,2,0.823712,0.781560
1207,18799,1,0.953869,0.949287
1206,18798,1,0.936760,0.608421
1206,18796,1,0.751356,0.591325
1206,18796,2,0.598735,0.540348
1206,18796,3,0.574017,0.514767
1206,18796,4,0.557633,0.533469
1206,18790,1,0.323930,0.221635
1206,18790,2,0.865303,0.258124
1206,18790,3,0.870281,0.703547
1206,18790,4,0.862356,0.700448
1207,18804,1,1.000000,0.794393
1207,18802,1,0.775187,0.757441
1207,18802,2,0.716294,0.686008
1207,18802,3,0.703734,0.675862
1207,18802,4,0.886144,0.881320
1207,18801,1,0.647181,0.615273
1207,18801,2,0.781825,0.270003
1207,18801,3,0.294925,0.388206
1207,18800,1,0.555152,0.541134
1207,18800,2,0.740721,0.643239
1207,18806,1,0.916003,0.907912
1207,18806,2,0.635068,0.543635
1207,18805,1,0.941099,0.726731
